rep_unit_2024,pop_per_sq_mi,pop,pop_hisp,pop_white,pop_black,pop_asian,pop_aian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_asian,vap_aian,vap_nhpi,vap_other,vap_two
BROWN - VILLAGE OF ASHWAUBENON WARDS 7-8,2027.2914024334525,2978,81,2631,67,78,90,1,16,14,2302,48,2094,40,45,59,0,12,4
BROWN - VILLAGE OF ASHWAUBENON WARDS 9-10,1761.34706407536,3332,133,2849,79,126,115,2,18,10,2676,86,2362,45,85,80,2,11,5
BROWN - VILLAGE OF BELLEVUE WARD 11,101.61678351640477,10,3,1,0,0,2,0,2,2,9,3,0,0,0,2,0,2,2
BROWN - VILLAGE OF BELLEVUE WARDS 1-6,1103.523892261612,8769,1373,6365,189,528,215,0,82,17,6894,835,5397,120,332,146,0,59,5
BROWN - VILLAGE OF BELLEVUE WARDS 7-10,1121.200776554156,7166,367,6176,95,308,126,1,75,18,5665,221,5049,46,198,90,0,54,7
BROWN - VILLAGE OF DENMARK WARDS 1-3,1222.567022697171,2412,61,2228,17,11,63,0,29,3,1771,34,1646,11,6,51,0,23,0
BROWN - VILLAGE OF GREENLEAF WARD 1,1147.8380698241756,573,128,421,4,2,17,0,1,0,425,75,334,3,1,12,0,0,0
BROWN - VILLAGE OF HOBART WARDS 1-7,484.35415558713504,6850,234,5659,56,206,605,1,79,10,5250,132,4440,39,141,442,1,51,4
BROWN - VILLAGE OF HOBART WARDS 8-11,178.3058430935152,3361,125,2240,38,174,718,4,41,21,2546,68,1774,19,110,547,3,19,6
BROWN - VILLAGE OF HOWARD WARD 22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROWN - VILLAGE OF HOWARD WARDS 1-2,9-14",1849.239885418474,8182,284,7207,145,201,230,4,91,20,6426,170,5796,63,138,170,4,70,15
BROWN - VILLAGE OF HOWARD WARDS 15-17,652.8188785842854,3476,87,3212,41,45,65,2,23,1,2471,48,2326,16,23,40,0,18,0
"BROWN - VILLAGE OF HOWARD WARDS 3-6,21",688.7521570005941,4422,208,3684,185,165,130,1,43,6,3510,137,3017,122,95,97,1,36,5
"BROWN - VILLAGE OF HOWARD WARDS 7-8,18-19",1949.7290162291188,3870,104,3462,75,111,79,1,30,8,2955,55,2742,31,55,47,1,19,5
"BROWN - VILLAGE OF PULASKI WARDS 1-3,6",1497.077969871245,3530,134,3157,35,32,125,1,28,18,2574,73,2363,17,14,80,1,18,8
BROWN - VILLAGE OF SUAMICO WARDS 1-3,452.4085921551715,3672,44,3426,31,52,72,0,38,9,2817,27,2681,5,25,44,0,31,4
BROWN - VILLAGE OF SUAMICO WARDS 4-6,255.28268406382753,5150,101,4761,45,75,88,0,66,14,3846,53,3640,14,40,51,0,48,0
BROWN - VILLAGE OF SUAMICO WARDS 7-9,565.5873293612445,3998,53,3744,33,58,66,1,40,3,2939,34,2780,19,42,44,0,19,1
BROWN - VILLAGE OF WRIGHTSTOWN WARDS 1-3,856.9970260907655,2912,184,2554,52,52,35,0,33,2,2073,104,1866,28,31,23,0,20,1
BUFFALO - CITY OF ALMA WARDS 1-2,129.981336545816,719,21,673,4,1,17,2,1,0,606,15,574,2,1,12,2,0,0
BUFFALO - CITY OF BUFFALO CITY WARDS 1-2,633.1867602645407,1007,9,981,4,0,6,0,5,2,865,9,842,2,0,6,0,4,2
BUFFALO - CITY OF FOUNTAIN CITY WARD 1,189.22194270223457,806,19,744,9,2,17,0,13,2,671,11,625,8,2,16,0,8,1
BUFFALO - CITY OF MONDOVI WARDS 1-3,729.695797015935,2845,85,2633,32,16,42,8,14,15,2165,41,2029,21,15,35,6,12,6
BUFFALO - TOWN OF ALMA WARD 1,6.000678019739673,254,4,242,1,0,2,0,4,1,217,4,207,0,0,2,0,4,0
BUFFALO - TOWN OF BELVIDERE WARD 1,12.104070699825265,403,8,388,1,0,1,1,2,2,320,6,311,0,0,1,1,1,0
BUFFALO - TOWN OF BUFFALO WARD 1,25.39169495803455,735,6,707,3,4,7,1,7,0,580,3,568,0,0,7,1,1,0
BUFFALO - TOWN OF CANTON WARD 1,6.85076726202972,245,4,234,1,0,0,0,6,0,203,4,196,0,0,0,0,3,0
BUFFALO - TOWN OF CROSS WARD 1,9.19289093265831,346,15,329,1,1,0,0,0,0,261,6,255,0,0,0,0,0,0
BUFFALO - TOWN OF DOVER WARD 1,14.221269039976429,515,5,498,0,3,5,0,4,0,364,2,352,0,3,3,0,4,0
BUFFALO - TOWN OF GILMANTON WARD 1,11.768976087404733,425,9,406,2,0,3,0,4,1,331,7,318,0,0,3,0,3,0
BUFFALO - TOWN OF GLENCOE WARD 1,9.027729950964106,402,48,348,2,0,1,1,2,0,318,25,289,0,0,1,1,2,0
BUFFALO - TOWN OF LINCOLN WARD 1,4.5381750459823,167,3,159,0,1,1,0,2,1,149,2,144,0,1,1,0,0,1
BUFFALO - TOWN OF MAXVILLE WARD 1,7.695208782006185,321,5,304,1,2,6,0,0,3,245,2,237,0,1,3,0,0,2
BUFFALO - TOWN OF MILTON WARD 1,23.308057077804733,541,16,512,5,0,2,1,4,1,456,11,436,4,0,2,1,2,0
BUFFALO - TOWN OF MODENA WARD 1,8.688030113638472,313,10,297,0,0,2,0,4,0,237,8,225,0,0,2,0,2,0
BUFFALO - TOWN OF MONDOVI WARD 1,14.028571982485328,451,7,427,4,4,2,0,6,1,359,4,345,1,4,0,0,4,1
BUFFALO - TOWN OF MONTANA WARD 1,5.680569860296073,268,1,263,1,0,2,0,1,0,213,0,211,0,0,1,0,1,0
BUFFALO - TOWN OF NAPLES WARD 1,19.746191747706803,697,4,678,0,3,3,0,8,1,528,3,512,0,3,2,0,8,0
BUFFALO - TOWN OF NELSON WARD 1,8.268851103184259,571,17,539,2,3,3,0,4,3,460,8,441,2,3,2,0,2,2
BUFFALO - TOWN OF WAUMANDEE WARD 1,11.657287220737874,508,21,479,3,1,4,0,0,0,399,18,377,1,0,3,0,0,0
BUFFALO - VILLAGE OF COCHRANE WARD 1,550.7375542586299,423,7,398,6,0,2,0,7,3,329,4,308,6,0,2,0,6,3
BUFFALO - VILLAGE OF NELSON WARD 1,224.28094618708192,322,3,305,3,1,0,1,7,2,257,2,246,0,1,0,1,5,2
BURNETT - TOWN OF ANDERSON WARD 1,6.505565585689188,408,4,387,2,0,9,0,6,0,333,1,323,2,0,4,0,3,0
BURNETT - TOWN OF BLAINE WARD 1,2.9944236923016208,206,1,194,2,0,4,0,1,4,174,1,166,1,0,3,0,1,2
BURNETT - TOWN OF DANIELS WARD 1,20.10267320522168,676,10,639,3,3,11,0,8,2,534,6,513,3,3,2,0,7,0
BURNETT - TOWN OF DEWEY WARD 1,15.06171913178822,545,5,465,0,0,65,3,5,2,428,5,379,0,0,38,2,2,2
BURNETT - TOWN OF GRANTSBURG WARDS 1-3,33.0212395034661,1168,17,1067,7,24,28,1,21,3,920,9,869,4,12,14,1,11,0
BURNETT - TOWN OF JACKSON WARDS 1-2,32.02571535391097,935,7,881,3,3,31,0,9,1,827,3,790,2,1,21,0,9,1
BURNETT - TOWN OF LA FOLLETTE WARDS 1-2,15.264782767509386,559,12,383,4,0,146,0,6,8,455,9,346,2,0,92,0,3,3
BURNETT - TOWN OF LINCOLN WARD 1,10.615400258717102,367,6,347,1,2,7,1,2,1,299,4,285,0,0,7,1,2,0
BURNETT - TOWN OF MEENON WARDS 1-3,38.491719351655064,1212,22,1066,12,6,84,0,15,7,979,10,882,10,2,57,0,12,6
BURNETT - TOWN OF OAKLAND WARDS 1-2,37.76740286258523,980,8,896,9,5,50,0,11,1,875,5,815,6,1,38,0,10,0
BURNETT - TOWN OF ROOSEVELT WARD 1,5.635874236391703,197,3,183,0,0,9,0,2,0,154,3,145,0,0,4,0,2,0
BURNETT - TOWN OF RUSK WARDS 1-2,14.58094004658658,470,5,405,1,2,47,1,2,7,387,3,344,1,2,29,1,1,6
BURNETT - TOWN OF SAND LAKE WARDS 1-2,17.797960046526185,576,2,422,5,1,117,1,15,13,472,2,370,3,1,78,1,12,5
BURNETT - TOWN OF SCOTT WARDS 1-2,20.98781780123712,583,6,555,3,0,12,0,7,0,537,2,516,3,0,11,0,5,0
BURNETT - TOWN OF SIREN WARDS 1-3,32.82942909385219,1019,8,923,3,7,60,0,16,2,855,6,788,0,4,39,0,16,2
BURNETT - TOWN OF SWISS WARD 1,14.06764521128093,807,6,621,2,8,148,0,9,13,697,6,550,2,6,115,0,8,10
BURNETT - TOWN OF TRADE LAKE WARDS 1-2,27.93553251893328,904,17,842,5,5,21,0,13,1,728,3,697,1,5,12,0,10,0
BURNETT - TOWN OF UNION WARD 1,10.008803948531412,345,4,318,2,3,12,0,5,1,306,4,285,1,0,10,0,5,1
BURNETT - TOWN OF WEBB LAKE WARD 1,13.60710398414136,432,2,412,1,0,13,0,3,1,408,1,393,1,0,9,0,3,1
BURNETT - TOWN OF WEST MARSHLAND WARD 1,5.770506022762553,400,11,367,2,2,15,0,3,0,311,9,291,1,1,8,0,1,0
BURNETT - TOWN OF WOOD RIVER WARDS 1-2,26.467785653880984,898,19,819,6,6,28,2,17,1,731,10,673,3,6,22,2,14,1
BURNETT - VILLAGE OF GRANTSBURG WARDS 1-2,446.2514789306894,1336,37,1201,23,19,42,0,14,0,1032,24,949,12,11,26,0,10,0
BURNETT - VILLAGE OF SIREN WARDS 1-2,595.3825915748671,809,31,695,6,15,40,0,16,6,661,22,571,6,15,32,0,12,3
BURNETT - VILLAGE OF WEBSTER WARD 1,400.5849446789492,694,11,570,6,6,91,1,6,3,539,6,465,5,4,49,1,6,3
CALUMET - CITY OF APPLETON WARD 13,5187.469196729955,2408,236,1847,110,144,53,1,7,10,1901,151,1554,61,87,38,0,5,5
CALUMET - CITY OF APPLETON WARD 14,3266.9310796139835,779,33,672,24,33,15,0,0,2,619,22,541,20,24,10,0,0,2
CALUMET - CITY OF APPLETON WARD 15,602.0153917348475,607,27,511,14,48,3,0,4,0,550,16,487,9,31,3,0,4,0
CALUMET - CITY OF APPLETON WARD 25,5403.750035560971,2451,218,1878,82,228,25,3,7,10,1838,126,1496,44,144,15,2,5,6
CALUMET - CITY OF APPLETON WARD 44,5085.6644807384955,2494,226,1854,100,252,36,5,19,2,1875,140,1479,52,160,23,1,18,2
CALUMET - CITY OF APPLETON WARD 45,3828.56462611772,1713,194,1380,16,71,18,1,32,1,1283,123,1072,8,38,16,1,24,1
CALUMET - CITY OF APPLETON WARD 46,3943.512974653226,814,43,692,10,36,9,1,23,0,609,33,521,6,24,9,1,15,0
CALUMET - CITY OF APPLETON WARD 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALUMET - CITY OF BRILLION WARDS 1-6,1067.2336949768064,3267,257,2861,26,13,64,3,43,0,2481,140,2256,6,8,39,2,30,0
CALUMET - CITY OF CHILTON WARDS 1-5,1007.839532578423,4080,422,3491,42,27,54,14,26,4,3125,234,2782,20,15,36,10,24,4
CALUMET - CITY OF KAUKAUNA WARD 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CALUMET - CITY OF KIEL WARD 7,834.2905610322287,347,20,308,0,4,12,0,2,1,271,11,248,0,3,9,0,0,0
CALUMET - CITY OF MENASHA WARDS 14-16,1527.2410937523084,2389,164,1934,47,175,32,3,28,6,1788,90,1513,30,108,25,3,14,5
CALUMET - CITY OF NEW HOLSTEIN WARDS 1-5,1178.842843674082,2956,99,2716,24,20,49,9,36,3,2380,57,2234,12,8,39,2,26,2
CALUMET - TOWN OF BRILLION WARDS 1-2,49.91171984664157,1645,58,1520,15,19,22,0,11,0,1237,35,1171,3,11,11,0,6,0
CALUMET - TOWN OF BROTHERTOWN WARDS 1-2,36.169632560828894,1328,72,1207,3,10,22,1,13,0,1080,54,992,1,3,16,1,13,0
CALUMET - TOWN OF CHARLESTOWN WARD 1,24.617207288008597,774,23,725,4,2,16,0,0,4,624,15,589,1,1,15,0,0,3
CALUMET - TOWN OF CHILTON WARDS 1-3,32.58651904089643,1059,30,989,5,12,13,1,8,1,866,12,830,0,6,10,1,6,1
CALUMET - TOWN OF NEW HOLSTEIN WARDS 1-2,56.17838834733753,1773,43,1690,14,2,19,0,5,0,1333,20,1286,5,0,17,0,5,0
CALUMET - TOWN OF RANTOUL WARD 1,23.208278887384864,740,26,676,3,6,20,0,5,4,567,16,527,1,3,16,0,2,2
CALUMET - TOWN OF STOCKBRIDGE WARDS 1-2,43.270919524976655,1453,13,1405,4,2,11,1,16,1,1174,9,1140,0,1,11,1,11,1
CALUMET - TOWN OF WOODVILLE WARD 1,26.050075759976632,850,31,785,2,3,20,0,9,0,669,18,627,0,0,16,0,8,0
"CALUMET - VILLAGE OF HARRISON WARDS 10-12,14",166.62064423890504,4356,144,3980,31,94,58,3,41,5,3191,77,2972,16,61,44,1,18,2
"CALUMET - VILLAGE OF HARRISON WARDS 3-9,13",1541.576845104359,8883,206,8155,51,275,98,1,80,17,6325,117,5909,21,168,58,1,41,10
CALUMET - VILLAGE OF HILBERT WARDS 1-2,847.1475768811222,1248,216,976,9,9,30,0,8,0,908,129,746,2,2,21,0,8,0
CALUMET - VILLAGE OF POTTER WARD 1,478.99443244411947,244,8,233,1,0,2,0,0,0,186,2,182,1,0,1,0,0,0
CALUMET - VILLAGE OF SHERWOOD WARDS 1-5,890.9456612572069,3106,42,2917,29,46,29,0,42,1,2291,24,2184,13,34,17,0,19,0
CALUMET - VILLAGE OF STOCKBRIDGE WARD 1,206.69527073494223,678,6,654,0,2,13,0,3,0,541,4,520,0,2,13,0,2,0
CHIPPEWA - CITY OF BLOOMER WARDS 1-4,1220.885568933918,3566,37,3418,29,12,30,1,37,2,2820,25,2733,8,9,17,1,25,2
CHIPPEWA - CITY OF CHIPPEWA FALLS WARD 17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIPPEWA - CITY OF CHIPPEWA FALLS WARDS 1-2,9-10",1375.5073758087206,4105,94,3664,86,100,84,2,69,6,3240,65,2962,43,60,52,0,56,2
"CHIPPEWA - CITY OF CHIPPEWA FALLS WARDS 11-14,16",828.2936891614385,4215,142,3629,183,71,108,0,71,11,3419,96,2986,159,45,81,0,49,3
"CHIPPEWA - CITY OF CHIPPEWA FALLS WARDS 1A,10A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIPPEWA - CITY OF CHIPPEWA FALLS WARDS 3,4-6,15",1532.2563130993474,4147,99,3784,73,74,59,3,47,8,3125,47,2916,32,38,46,2,37,7
CHIPPEWA - CITY OF CHIPPEWA FALLS WARDS 8-7,4174.515060200751,2185,33,1987,38,40,44,0,31,12,1749,18,1605,24,27,42,0,27,6
CHIPPEWA - CITY OF CORNELL WARDS 1-4,383.7356594658878,1453,22,1361,13,13,26,1,15,2,1125,9,1062,8,5,24,1,14,2
CHIPPEWA - CITY OF EAU CLAIRE WARD 16,530.3067751800287,1919,30,1496,63,266,39,1,15,9,1412,18,1184,33,134,28,0,10,5
CHIPPEWA - CITY OF EAU CLAIRE WARD 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIPPEWA - CITY OF EAU CLAIRE WARD 41,1940.707186352296,216,11,166,5,25,2,2,4,1,162,7,133,2,11,2,2,4,1
CHIPPEWA - CITY OF EAU CLAIRE WARD 64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIPPEWA - CITY OF STANLEY WARDS 1-6,9",1007.969333010672,3804,170,2845,604,47,102,0,32,4,3177,149,2304,570,37,90,0,27,0
CHIPPEWA - TOWN OF ANSON WARDS 1-3,63.60442713932103,2362,38,2239,15,15,31,0,23,1,1919,23,1827,12,10,25,0,21,1
CHIPPEWA - TOWN OF ARTHUR WARD 1,18.029607169563253,771,18,721,4,3,8,0,12,5,572,5,547,2,1,5,0,9,3
CHIPPEWA - TOWN OF AUBURN WARD 1,21.716920241648896,776,9,726,11,3,16,0,10,1,559,7,528,6,0,13,0,4,1
CHIPPEWA - TOWN OF BIRCH CREEK WARD 1,10.996925778469423,486,6,470,0,3,3,1,3,0,424,3,414,0,2,2,1,2,0
CHIPPEWA - TOWN OF BLOOMER WARDS 1-2,23.158001335030715,1090,11,1025,7,13,19,0,15,0,812,8,774,2,5,14,0,9,0
CHIPPEWA - TOWN OF CLEVELAND WARD 1,16.348198493610983,879,12,839,1,3,9,0,14,1,688,8,658,1,1,9,0,10,1
CHIPPEWA - TOWN OF COLBURN WARD 1,13.800401344422648,892,22,844,0,8,10,1,3,4,660,11,630,0,6,10,1,2,0
CHIPPEWA - TOWN OF COOKS VALLEY WARD 1,22.10449472819539,757,8,723,9,6,4,0,7,0,541,4,522,2,5,4,0,4,0
CHIPPEWA - TOWN OF DELMAR WARDS 1-2,23.911066235915055,1013,19,973,4,5,7,1,4,0,726,14,699,2,0,7,0,4,0
CHIPPEWA - TOWN OF EAGLE POINT WARD 6,300.63349839642007,254,5,237,6,4,2,0,0,0,194,2,192,0,0,0,0,0,0
CHIPPEWA - TOWN OF EAGLE POINT WARDS 1-5,49.66682029476812,2983,32,2844,10,31,38,1,26,1,2401,21,2306,7,21,29,1,15,1
CHIPPEWA - TOWN OF EDSON WARDS 1-2,21.20511637016333,1141,27,1096,1,0,8,0,8,1,772,16,748,1,0,3,0,3,1
CHIPPEWA - TOWN OF ESTELLA WARDS 1-2,15.429070889467289,486,3,473,6,0,2,0,1,1,373,2,368,1,0,1,0,0,1
CHIPPEWA - TOWN OF GOETZ WARDS 1-2,27.40649467220921,813,6,778,5,2,16,1,4,1,603,3,578,2,1,14,1,3,1
CHIPPEWA - TOWN OF HALLIE WARD 1,20.96032480829212,156,3,144,4,4,0,0,1,0,134,1,129,1,2,0,0,1,0
CHIPPEWA - TOWN OF HOWARD WARD 1,21.69664589619019,777,10,723,5,2,14,0,23,0,599,5,563,4,0,7,0,20,0
CHIPPEWA - TOWN OF LAFAYETTE WARDS 1-9,177.88407317910313,6132,80,5663,35,105,136,0,102,11,4792,52,4513,23,47,85,0,66,6
CHIPPEWA - TOWN OF LAKE HOLCOMBE WARDS 1-2,38.12692434588409,1011,11,963,2,3,24,1,4,3,865,10,834,1,3,10,1,4,2
CHIPPEWA - TOWN OF RUBY WARD 1,8.720323280940836,465,1,452,1,5,2,0,4,0,339,0,332,0,1,2,0,4,0
CHIPPEWA - TOWN OF SAMPSON WARD 1,15.82124908026183,981,4,935,2,7,14,0,19,0,763,3,734,1,3,10,0,12,0
CHIPPEWA - TOWN OF SIGEL WARDS 1-2,31.68212026284065,1132,10,1090,5,3,9,2,13,0,839,4,814,1,2,6,2,10,0
CHIPPEWA - TOWN OF TILDEN WARD 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIPPEWA - TOWN OF TILDEN WARDS 1-3,45.02480527996333,1604,24,1538,11,6,9,0,15,1,1232,18,1198,3,3,6,0,4,0
CHIPPEWA - TOWN OF WHEATON WARDS 1-3,51.164710098577835,2759,39,2498,14,110,35,3,58,2,2149,25,1980,3,79,26,0,35,1
CHIPPEWA - TOWN OF WOODMOHR WARDS 1-2,32.07950522203582,1121,17,1086,3,3,8,0,3,1,860,11,837,2,3,4,0,3,0
CHIPPEWA - VILLAGE OF BOYD WARD 1,327.3561041334026,605,21,554,11,2,4,0,12,1,435,9,406,11,2,2,0,5,0
CHIPPEWA - VILLAGE OF CADOTT WARDS 1-2,442.8763766867572,1498,20,1416,8,10,34,0,10,0,1160,14,1100,3,8,28,0,7,0
CHIPPEWA - VILLAGE OF LAKE HALLIE WARDS 1-10,510.9100596932409,7206,155,6499,61,223,138,2,96,32,5498,107,5065,21,136,88,2,67,12
CHIPPEWA - VILLAGE OF NEW AUBURN WARD 1,172.0784548090341,537,8,492,6,1,14,1,15,0,398,3,371,2,0,8,1,13,0
CHIPPEWA - VILLAGE OF NEW AUBURN WARD 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLARK - CITY OF ABBOTSFORD WARDS 2-5,1146.4721544384374,1665,556,1059,16,15,7,0,11,1,1215,317,859,14,10,4,0,10,1
CLARK - CITY OF COLBY WARDS 2-3,1626.7820920912209,1236,206,978,10,11,13,0,18,0,934,113,788,8,9,8,0,8,0
CLARK - CITY OF GREENWOOD WARDS 1-2,392.8349184068556,1058,35,1010,1,3,1,0,3,5,816,13,792,0,3,1,0,3,4
CLARK - CITY OF LOYAL WARDS 1-2,898.557022735029,1203,32,1146,3,5,9,0,7,1,900,18,865,0,5,8,0,4,0
CLARK - CITY OF NEILLSVILLE WARD 1,731.8649290918434,393,13,355,5,4,6,0,9,1,301,7,277,2,4,6,0,4,1
CLARK - CITY OF NEILLSVILLE WARD 2,712.5524904659082,706,17,662,12,1,5,0,9,0,554,13,520,6,1,5,0,9,0
CLARK - CITY OF NEILLSVILLE WARD 3,1636.9200848972564,519,13,495,4,5,1,0,0,1,415,10,398,0,5,1,0,0,1
CLARK - CITY OF NEILLSVILLE WARD 4,871.2742155261218,394,17,359,6,3,2,0,5,2,308,8,291,0,3,2,0,2,2
CLARK - CITY OF NEILLSVILLE WARD 5,777.0772589310563,372,13,344,7,1,2,0,4,1,313,5,297,4,1,1,0,4,1
CLARK - CITY OF OWEN WARDS 1-3,394.2171967209555,916,73,780,12,7,23,0,18,3,727,46,637,3,3,18,0,18,2
CLARK - CITY OF STANLEY WARDS 7-8,3.891139109402745,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLARK - CITY OF THORP WARDS 1-4,1212.8497361056632,1795,77,1630,31,13,16,2,26,0,1325,45,1231,14,7,15,2,11,0
CLARK - TOWN OF BEAVER WARD 1,22.890713940954793,826,14,803,2,1,2,0,3,1,513,5,500,2,1,2,0,3,0
CLARK - TOWN OF BUTLER WARD 1,3.130442858461304,112,0,108,1,0,1,0,2,0,80,0,77,0,0,1,0,2,0
CLARK - TOWN OF COLBY WARDS 1-3,28.914333209076545,961,41,899,5,4,8,0,4,0,663,26,625,2,3,3,0,4,0
CLARK - TOWN OF DEWHURST WARD 1,9.89232681278605,349,11,316,0,0,21,0,0,1,286,3,261,0,0,21,0,0,1
CLARK - TOWN OF EATON WARDS 1-2,21.375617919742854,718,1,709,1,2,0,0,5,0,465,1,461,1,0,0,0,2,0
CLARK - TOWN OF FOSTER WARD 1,1.654607180131756,118,2,111,0,2,2,0,1,0,105,2,101,0,0,2,0,0,0
CLARK - TOWN OF FREMONT WARDS 1-2,37.30127578979514,1312,52,1218,2,10,15,1,13,1,865,26,812,1,4,11,1,10,0
CLARK - TOWN OF GRANT WARDS 1-2,24.098390417459697,858,23,812,5,5,6,0,6,1,628,10,602,1,5,6,0,3,1
CLARK - TOWN OF GREEN GROVE WARDS 1-2,20.86450071101388,748,10,728,3,2,3,0,2,0,444,3,435,0,1,3,0,2,0
CLARK - TOWN OF HENDREN WARD 1,12.093565979080312,433,3,424,2,0,0,1,3,0,333,3,326,0,0,0,1,3,0
CLARK - TOWN OF HEWETT WARDS 1-2,8.289927584085781,295,4,282,4,1,3,0,1,0,252,1,246,1,0,3,0,1,0
CLARK - TOWN OF HIXON WARDS 1-2,27.252205249972135,902,14,869,5,6,8,0,0,0,567,9,547,2,4,5,0,0,0
CLARK - TOWN OF HOARD WARDS 1-2,22.456069412115188,787,15,754,0,2,10,0,6,0,570,8,546,0,0,10,0,6,0
CLARK - TOWN OF LEVIS WARDS 1-2,12.21442276798481,437,7,401,4,3,16,0,6,0,354,6,324,2,3,14,0,5,0
CLARK - TOWN OF LONGWOOD WARDS 1-3,24.905790916620315,877,10,860,0,0,4,0,3,0,545,4,534,0,0,4,0,3,0
CLARK - TOWN OF LOYAL WARDS 1-2,22.77442661052456,790,30,739,8,5,5,1,2,0,499,19,469,1,4,5,1,0,0
CLARK - TOWN OF LYNN WARDS 1-2,23.491470329819236,834,10,811,1,3,3,0,5,1,544,9,528,0,1,1,0,4,1
CLARK - TOWN OF MAYVILLE WARDS 1-2,29.669967889922304,963,95,843,3,2,11,0,7,2,653,50,587,2,1,9,0,2,2
CLARK - TOWN OF MEAD WARD 1,10.203152798320398,357,6,338,0,3,7,0,3,0,261,2,250,0,3,3,0,3,0
CLARK - TOWN OF MENTOR WARD 1,15.354539955692404,546,42,479,0,9,8,0,8,0,404,27,362,0,6,4,0,5,0
CLARK - TOWN OF PINE VALLEY WARDS 1-2,35.36799817203745,1175,30,1115,3,6,10,0,10,1,920,21,874,3,6,9,0,6,1
CLARK - TOWN OF RESEBURG WARDS 1-2,22.13660130689193,793,20,747,4,2,14,0,5,1,492,14,466,2,2,3,0,4,1
CLARK - TOWN OF SEIF WARD 1,5.230627706252504,188,5,177,0,4,0,0,1,1,143,3,138,0,1,0,0,0,1
CLARK - TOWN OF SHERMAN WARDS 1-2,23.81351081554767,831,45,770,5,2,6,0,3,0,596,33,552,3,1,4,0,3,0
CLARK - TOWN OF SHERWOOD WARD 1,6.451986274731777,230,0,223,1,1,1,0,4,0,189,0,185,1,1,1,0,1,0
CLARK - TOWN OF THORP WARDS 1-2,24.324275013353557,838,3,817,1,6,4,1,6,0,562,3,552,0,1,1,1,4,0
CLARK - TOWN OF UNITY WARD 1,21.638793881307222,751,15,720,2,2,9,0,2,1,529,6,517,0,1,5,0,0,0
CLARK - TOWN OF WARNER WARDS 1-2,18.326452524720487,635,5,614,7,1,3,0,4,1,435,2,424,2,1,3,0,2,1
CLARK - TOWN OF WASHBURN WARD 1,7.9784452068988685,289,16,260,1,3,2,0,7,0,238,15,218,0,0,2,0,3,0
CLARK - TOWN OF WESTON WARDS 1-2,19.066143482347208,686,25,639,3,2,8,0,8,1,479,19,449,0,2,1,0,8,0
CLARK - TOWN OF WITHEE WARDS 1-2,29.458741892533876,1033,11,1009,1,4,5,0,3,0,594,1,586,0,2,2,0,3,0
CLARK - TOWN OF WORDEN WARD 1,19.703706302513897,708,4,695,1,1,5,0,2,0,469,3,460,1,1,2,0,2,0
CLARK - TOWN OF YORK WARDS 1-2,23.41498665985575,844,46,779,2,1,2,1,11,2,593,28,551,1,1,2,1,7,2
CLARK - VILLAGE OF CURTISS WARD 1,427.183539756382,292,211,72,0,3,3,0,2,1,193,123,62,0,2,3,0,2,1
CLARK - VILLAGE OF DORCHESTER WARD 1,651.1355213270044,846,159,670,7,1,8,0,1,0,635,94,533,1,1,5,0,1,0
CLARK - VILLAGE OF GRANTON WARD 1,702.3847947833194,381,17,346,13,0,3,0,2,0,273,8,257,3,0,3,0,2,0
CLARK - VILLAGE OF UNITY WARD 1,456.8977984882439,151,13,135,0,0,1,2,0,0,114,10,101,0,0,1,2,0,0
CLARK - VILLAGE OF WITHEE WARD 1,620.3834186187663,506,31,454,3,4,10,1,2,1,395,22,362,2,1,5,0,2,1
"COLUMBIA - CITY OF COLUMBUS WARDS 1-8,10",1230.9795190460914,5540,289,4934,128,63,66,3,51,6,4297,182,3908,67,40,54,3,38,5
COLUMBIA - CITY OF LODI WARDS 1-5,1872.4086654029936,3237,89,2989,27,39,52,3,37,1,2515,50,2366,11,24,33,3,27,1
COLUMBIA - CITY OF PORTAGE WARDS 1-3,677.7396665186578,3061,138,2679,86,62,63,1,26,6,2399,92,2160,41,51,39,0,14,2
COLUMBIA - CITY OF PORTAGE WARDS 4-6,5077.844316337592,3274,162,2919,66,36,53,3,29,6,2525,99,2309,31,30,30,0,23,3
COLUMBIA - CITY OF PORTAGE WARDS 7-11,1129.5787620437973,4250,314,3182,539,59,102,6,46,2,3541,219,2654,494,45,86,3,39,1
